Game,Team,ResultTitle,ShowInTrophyCabinet,PlacementLabel,PlacementMin,PlacementMax,Date,Players,Competition,SourceUrl,Notes
Valorant,Karmine Corp Blue Stars,VALORANT Challengers 2025 France: Revolution Stage 2,No,#2,2,2,2025-05-03,Ease; F4ngeer; Sevire; Soren; Yohpa; Pakko,VALORANT Challengers France,,
Valorant,Karmine Corp Blue Stars,VALORANT Challengers 2025 France: Revolution Stage 1,No,#3-4,3,4,2025-02-15,Ease; F4ngeer; Sevire; Soren; Yohpa; Pakko,VALORANT Challengers France,,
Valorant,Karmine Corp,VCT 2024: EMEA Kickoff,No,#1,1,1,2024-03-01,Shin; Magnum; Marteen; N4rrate; Tomaszy; Engh; Ze1sh; Fistie,VCT: EMEA,,
Valorant,Karmine Corp GC,Qualified - VCT 2023: Game Changers EMEA Stage 1 - Last Chance Qualifier,No,#1-2,1,2,2023-04-09,Matriix; LiriLia; Mel; Nelo; Ninou; LaAw; Emash,VCT : Game Changers EMEA Stage 1 - Last Chance Qualifier,,
Valorant,Karmine Corp GC,VCT 2024: Game Changers EMEA Contenders Series 1,No,#1,1,1,2024-04-07,Matriix; Speedwka; Kuripuuya; Glance; Nelo; LaAw; uNKOE,VCT: Game Changers EMEA Contenders Series 1,,
Valorant,Karmine Corp GC,VCT 2025: Game Changers EMEA Stage 1,No,#1,1,1,2025-03-19,Glance; Alkyia; Anesilia; Jiex; Safiaa; SmartSeven,VCT : Game Changers EMEA Stage 1,,
TFT,Karmine Corp,TFT Open Championship 9: Summit Invitational,No,#1,1,1,2024-09-19,Double61,TFT Open Championship 9: Summit Invitational,,
TFT,Karmine Corp,Rising Legends: Monsters Attack! - Finals,No,#1,1,1,2023-05-15,Canbizz,Rising Legends: Monsters Attack! - Finals,,
TFT,Karmine Corp,Rising Legends: Monsters Attack - Golden Spatula Cup #3,No,#1,1,1,2023-04-16,Canbizz,Rising Legends: Monsters Attack - Golden Spatula Cup #3,,
TFT,Karmine Corp,Hex League: Split 2,No,#1,1,1,2022-10-31,CanbizZ,Hex League: Split 2,,
TFT,Karmine Corp,Fresh Cup #6,No,#1,1,1,2022-06-14,Canbizz,Fresh Cup #6,,
TFT,Karmine Corp,Rising Legends: Gizmos & Gadgets - Finals,No,#1,1,1,2022-03-27,Double61,Rising Legends: Gizmos & Gadgets - Finals,,
TFT,Karmine Corp,JeudiTFT 2021 Spring Finals,No,#1,1,1,2021-06-17,Double61,JeudiTFT 2021 Spring Finals,,
TFT,Karmine Corp,Toon Cup #1,No,#1,1,1,2021-03-26,Canbizz,Toon Cup #1,,
TFT,Karmine Corp,Chosen,No,#1,1,1,2021-02-13,Double61; Canbizz,Chosen,,
TFT,Karmine Corp,Fresh Cup #3,No,#1,1,1,2021-01-31,Kotei; IamTLT,Fresh Cup #3,,
TFT,Karmine Corp,Galaxies Championship,No,#1,1,1,2020-09-04,Double61,Galaxies Championship,,
TFT,Karmine Corp,Inkborn Fables Tactician's Crown,No,#2,2,2,2024-07-14,Double61,Inkborn Fables Tactician's Crown,,
TFT,Karmine Corp,Rising Legends: Inkborn Fables - Golden Spatula Cup #3,No,#2,2,2,2024-06-23,Wet Jungler,Rising Legends: Inkborn Fables - Golden Spatula Cup #3,,
TFT,Karmine Corp,Hex Tour: Fresh Cup,No,#2,2,2,2024-01-28,Double61,Hex Tour: Fresh Cup,,
TFT,Karmine Corp,Rising Legends: Runeterra Reforged - Golden Spatula Cup #2,No,#2,2,2,2023-08-13,Double61,Rising Legends: Runeterra Reforged - Golden Spatula Cup #2,,
TFT,Karmine Corp,Hex League: Split 2,No,#2,2,2,2022-10-31,Double61,Hex League: Split 2,,
TFT,Karmine Corp,Coupe Kennen VIII,No,#2,2,2,2020-12-08,Double61,Coupe Kennen VIII,,
TFT,Karmine Corp,Fresh Cup #2: Winter Edition,No,#2,2,2,2020-12-06,Double61,Fresh Cup #2: Winter Edition,,
TFT,Karmine Corp,TFT Monaco Invitational,No,#2,2,2,2020-10-26,Double61,TFT Monaco Invitational,,
TFT,Karmine Corp,Into the Arcane: EMEA Tactician's Cup #1,No,#3,3,3,2025-01-19,Double61,Into the Arcane: EMEA Tactician's Cup #1,,
